"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Search","1","0","Verify search and filtering functionality","0"
"0","","0","Homepage","1","0","Check homepage load and navigation","0"
