"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10468","PlaywrightTests.Tests.FundaTests.VerifySearchAndFiltering","","2025-09-26","passed","2025-09-26","","Funda UI Tests","PlaywrightTests.Tests.FundaTests","PlaywrightTests.Tests.FundaTests.VerifySearchAndFiltering"
"","7919","PlaywrightTests.Tests.FundaTests.CheckHomePageLoad","","2025-09-26","passed","2025-09-26","","Funda UI Tests","PlaywrightTests.Tests.FundaTests","PlaywrightTests.Tests.FundaTests.CheckHomePageLoad"
